Gene_ID,WT_0_01,WT_0_02,CP_0_04,CP_0_05,WT_05_07,WT_05_08,CP_05_11,CP_05_12,WT_1_13,WT_1_14,CP_1_16,CP_1_17,WT_2_20,CP_2_22,CP_2_23,WT_2_25,WT_4_16,CP_4_28
msrAB2,739,644,466,417,1155,898,1108,1429,1071,898,1027,1098,858,1000,1121,329,171,856
SPD_0574,5116,3931,3708,3874,5496,5024,6461,6604,4656,3615,3495,4217,3764,4102,4275,3469,1485,5376
SPD_0575,9294,8111,6303,6181,8490,6735,9114,12069,6582,5018,4522,5290,5508,4831,6117,4102,1979,6705
SPD_0576,19722,18384,15542,15743,19396,15555,24727,34125,11861,10199,9446,9654,9100,8369,8553,9407,3735,12878
zmpB,380694,322815,354860,316023,918903,805438,1307969,1260420,538761,478654,474349,588925,429790,335176,351115,276705,125343,333767
pabB,11742,9920,8704,8709,16492,12544,17481,21482,11200,9218,8879,9683,9391,7685,9160,6014,2803,9325
SPD_0579,9479,8000,6927,6477,15083,12581,14997,16710,10691,10148,8002,9437,9079,6442,6771,5802,2820,7262
gki,15410,14899,10195,10456,25666,19687,22295,33130,16415,13945,10617,13069,13409,8813,9964,7145,3277,9556
thyA,11445,10379,5924,5940,10634,9213,13231,15351,6936,5600,3950,4684,5728,5807,6325,6551,2734,9546
SPD_0582,6370,7902,3608,3360,6611,17834,28159,7159,6281,8128,7297,6819,3361,10379,11419,7749,3704,11427
miaA,6497,6196,4070,4250,4930,4281,7330,9368,4504,3475,3120,3581,3228,3715,4410,3795,1709,6046
hflX,12805,11944,8398,8442,6427,5467,8622,11804,5576,4557,3696,4552,4123,3746,5013,3881,1922,7072
SPD_0585,8964,7877,5944,5787,4146,3897,5466,5746,3665,3258,2817,3201,2819,2410,3051,2758,1303,3828
rnz,11680,11184,6945,7068,5139,4234,5981,7956,4134,3751,2889,3521,2643,2502,3262,2606,1052,4214
SPD_0587,17301,15761,10680,10555,6023,5235,7200,8451,5397,5061,3792,4406,3588,3204,3963,3717,1961,5323
